Number	x	y	dbh	ht	species
611	95.13086196	40.87997884	14.4	10	4
612	96.0048	44.9702	17.2	11	4
613	96.6667324	49.0860291	14	8	4
614	96.8544	46.3258	15	8.9	4
615	97.09889891	42.68629515	17.5	10.6	4
616	98.1276	46.0937	8.6	6.8	4
617	39.3515	37.9173	14.1	11.2	6
618	39.38090969	39.89913878	14.6	11.2	6
619	40.39722831	35.74144616	16.7	10.2	6
620	40.81963318	40.87474092	10.5	8.3	6
621	41.21198208	27.66498617	23.9	8	6
622	41.68873107	41.08925404	20.8	7	6
623	43.71026574	29.18220548	27.3	7.5	6
624	48.32059142	26.68336552	13.5	7	6
625	48.6142	41.7071	9.3	5	6
626	48.6755	41.7045	10.5	4	6
627	50.50122877	21.54871038	7.5	6.5	6
628	53.49375663	30.16418215	19.1	6.5	6
629	53.60128485	38.25749551	15	5	6
630	53.97580478	35.54565284	13.2	7	6
631	57.51273362	26.9890444	15.2	5.5	6
632	57.64229004	23.6531726	9.2	5.2	6
633	58.28192326	22.56687094	13	5.3	6
634	59.90880752	39.36016486	24.8	6.5	6
635	60.7721	37.7352	15.3	8	6
636	61.8783	22.1333	14	7.8	6
637	62.34619382	6.175377046	10.3	8.5	6
638	62.42193901	8.179507907	8.5	4.8	6
639	62.91670298	41.63087331	16.2	8.3	6
640	62.97592183	8.482531366	11.8	6	6
641	63.56998951	40.71617449	29.8	9.5	6
642	63.71334174	33.81965412	25.9	10.3	6
643	64.79663204	34.38642177	11.3	7	6
644	65.58513128	27.65329418	16.2	6.8	6
645	68.2133	22.287	18.5	7.2	6
646	72.24015437	22.2574371	17	7.8	6
647	46.80558876	36.12764112	16.5	7.5	7
648	54.25953061	16.54997285	12.4	5.5	7
649	4.22309245	5.491412513	15.4	8.8	8
650	7.94469936	42.90130633	16	8.8	9
651	11.87486074	40.41769512	5.8	6.3	9
652	12.17000897	39.99554398	6.3	5	9
653	12.68748974	23.45790225	6.8	5	9
654	13.30160677	38.83991685	8.8	6	9
655	13.93347538	46.48960324	10.8	9.2	9
657	55.89039476	12.99675484	15.2	9.5	12
658	56.0788776	14.39234462	7.6	7.3	12
659	67.82877659	40.11991582	15	10	12
660	70.18215023	1.320375682	7.3	8	1
661	72.85752159	37.34382421	22.2	7.6	12
662	77.6576273	37.89073042	21	10	12
663	85.15730248	21.01269412	10.8	8	12
664	89.74412562	26.59181969	7.5	5	12
665	97.08679814	41.18752005	9.4	7	12
666	97.20802773	36.43231714	17.8	11.3	12
667	97.99179853	36.55464359	28.3	11.3	12
668	98.59866675	48.73743135	11.8	8	12
669	99.10468969	48.02894589	11.8	7.1	12
670	99.70722552	47.8369262	13.4	7.7	12
671	43.66417608	6.226291776	9.2	7.4	13
672	44.00946811	6.078245551	10	7.4	13
673	44.49427008	5.808401057	12	7.4	13
674	29.5499159	49.08770288	6.4	5	14
675	52.03116311	7.660052153	18.8	14	14
676	94.27686314	0.566191493	15.9	12	14
677	52.2548	47.7656	13.8	10	15
