Number	x	y	dbh	ht	species
140	65.6215	9.3126	7.6	5.5	1
141	65.63552526	20.60790008	7	5.6	1
142	66.54240763	12.7537606	6.4	4.8	1
143	67.4558314	25.21414659	10.1	4.5	1
144	67.60593435	16.85760728	14.2	8	1
145	68.31487394	48.28809488	5.5	5.8	1
146	68.62212289	9.529374448	8	7.2	1
147	68.97168985	5.417028254	6.2	6.4	1
148	69.43820009	44.70100431	17	8	1
149	69.81032378	24.9085651	7.4	5	1
150	71.01269764	26.98464077	13.3	9	1
151	71.11724396	19.77567207	7.5	6.6	1
152	71.2675	7.2296	9.5	6.8	1
153	74.73527981	44.82161848	5.9	6	1
154	74.95429861	16.27874306	7	6	1
155	75.24542914	12.18695027	7.6	6.4	1
156	77.25552873	47.40512426	6.1	5.5	1
157	78.435	13.82	6.5	5	1
158	81.88836094	44.32369655	7.8	3.3	1
159	82.09609247	47.80027059	6.7	4.6	1
160	84.0483877	43.1534387	5.9	4.8	1
161	89.33600071	13.60141288	11.9	8.2	1
162	93.4094607	5.711639532	12.2	8.2	1
163	94.03645564	14.08838085	10.1	4	1
164	98.13857419	4.903499228	11.8	7.7	1
165	98.39698157	4.933062743	7.3	6	1
166	98.59745851	4.935889966	15.1	7.5	1
167	99.44582801	6.604842373	20.7	10.8	1
171	0.12140342	38.16529844	27.5	14.6	2
172	0.23969961	43.51946233	22.6	12.6	2
173	1.06632076	23.50169739	19.2	8.1	2
174	1.21119763	34.1608532	19.2	8.9	2
175	1.2282468	25.0927473	18.1	9.5	2
176	1.36623127	37.26412932	13.4	6.2	2
177	1.53577122	27.38118658	17.4	8.5	2
178	2.12756105	32.24241258	25.7	9.8	2
179	2.24758974	41.71866372	19.8	6.2	2
180	2.55571967	40.35653608	15.3	6.5	2
181	3.36421516	22.29945445	23.1	10.2	2
182	3.4021174	28.83796353	18.3	11	2
183	3.45357067	23.96811415	15.2	6.5	2
184	3.48482469	32.48616696	18.3	10	2
185	3.82798097	41.10293202	18	6.3	2
186	4.62991585	30.56829793	21	8	2
187	4.8482176	34.84998697	14.5	10.2	2
188	5.72006126	22.79031817	15.4	6.8	2
189	5.75482791	10.36745282	15.2	8.4	4
190	5.81304806	13.1928977	9	5.2	4
191	6.54673901	31.26787558	13.2	8	2
192	6.71268517	6.762817468	24.8	11.6	4
193	7.07786494	25.7961535	14.5	8.2	2
194	7.2168437	12.28897096	16.1	8.2	4
195	7.73085449	23.24927917	11	4.8	2
196	8.21237137	37.99375845	23.4	9.1	2
197	8.79386166	33.53427242	18.7	10.4	2
198	9.46763812	27.1244225	27.5	14.8	2
199	9.51716049	24.73037234	25.9	14.8	2
200	9.70377428	12.33785224	25	10.8	1
201	9.7271185	11.15222223	21.7	8.8	4
202	10.53005875	20.08900354	28.2	11	2
203	10.73013481	8.601470864	23.1	11.7	1
204	10.74021485	24.92404372	21.3	11.6	2
205	11.67839891	7.64719175	9	6.8	4
206	12.04635289	30.64631077	16.4	6	2
