Tree	x	y	dbh	species	height
561	69.4594	83.478	11.6	16	0
562	69.4582	82.8611	7.7	16	0
563	68.0011	82.066	14.5	20	0
564	70.983	80.6064	23.2	8	0
565	71.3806	80.7743	20	8	0
566	67.2209	80.1061	5.6	22	0
567	66.0528	77.5144	11.2	22	0
568	69.6917	75.7827	15	2	0
569	69.6233	74.8117	13	22	0
570	64.7769	74.8225	27.6	8	0
571	67.1005	75.5074	5.5	2	0
572	70.1831	70.3671	21.8	2	0
573	68.2132	68.9601	30	7	0
574	66.3986	64.2169	9.3	20	0
575	60.6896	63.893	6.7	16	0
576	66.357	61.9427	6.5	10	0
577	66.5209	61.5766	6.6	10	0
578	62.7545	60.8782	31.2	7	0
579	63.5496	68.1306	10	16	0
580	60.5494	64.0213	6.6	16	0
581	53.4121	63.6544	9.3	16	0
582	59.0015	61.481	12.5	16	0
583	53.0184	58.8982	13.6	16	0
584	74.7644	64.0672	26.8	2	0
585	72.4255	64.9837	18.6	8	0
586	74.8329	66.5641	36.1	8	0
587	79.3242	63.4473	38	8	0
588	78.74	66.7915	5.8	2	0
589	80.6857	69.8341	34.2	21	0
590	83.089	56.9558	34.5	22	0
591	83.9105	57.0068	22	2	0
592	83.9731	57.611	40.5	22	0
593	84.7436	56.8535	39	22	0
594	83.097	60.4387	14	2	0
595	82.9272	62.7076	28.5	6	0
596	82.7551	63.0731	10.2	6	0
597	83.3822	63.4016	7	18	0
598	83.2252	66.7982	16.1	2	0
599	84.2631	66.1144	5.5	18	0
600	87.4572	74.8934	8.5	2	0
601	85.0064	75.4762	7	2	0
602	84.2746	76.2595	33.6	20	0
603	86.2796	78.4273	5.8	2	0
604	79.8321	75.4426	5	2	0
605	81.7684	78.6432	10	2	0
606	77.4583	77.6889	8.6	18	0
607	74.4948	74.7872	24.4	8	0
608	73.962	74.4245	5	2	0
609	73.8344	77.6175	6	18	0
610	73.9773	77.7624	5.6	18	0
611	72.8028	78.5993	42.2	8	0
612	72.075	78.282	8.2	2	0
613	77.178	80.2507	17.1	2	0
614	77.4116	85.3276	10.8	20	0
615	80.8431	85.4712	7.8	2	0
616	80.8229	86.2898	24.9	8	0
617	78.5783	88.9641	8.2	2	0
618	78.6684	89.1336	8.3	2	0
619	87.8631	82.3666	42.6	6	0
620	88.0985	82.6237	17	6	0
621	89.3281	83.7462	25.2	7	0
622	88.6864	84.4556	24.1	7	0
623	86.4111	87.3174	36.8	9	0
624	89.2529	90.7136	8.2	20	0
625	86.8513	91.5722	11.7	17	0
626	89.3178	93.5772	8.4	17	0
627	86.0317	91.8118	14.8	18	0
628	87.1031	94.948	36.8	8	0
629	86.1427	96.4649	11	2	0
630	87.0917	97.5817	5.3	18	0
631	85.0737	98.1366	11.4	18	0
632	82.1777	95.9702	27.6	8	0
633	82.7981	97.2535	14	18	0
634	80.9137	96.0943	21.6	8	0
635	80.5736	95.9822	19.6	8	0
636	80.6839	94.1977	12	2	0
637	81.0438	98.7874	27.5	8	0
638	77.7472	99.3467	19.2	8	0
639	77.4643	99.3929	20.5	8	0
640	88.6848	99.8055	9.5	2	0
641	92.9207	98.6579	9.9	20	0
642	99.3152	98.1083	28.5	8	0
643	99.1113	98.1245	6	20	0
644	99.3769	96.042	14	22	0
645	93.213	90.4415	5.6	16	0
646	94.8598	86.8509	10	2	0
647	92.6886	85.666	18.7	9	0
648	94.2946	80.7032	12.9	17	0
649	95.7511	82.2624	5.9	2	0
650	94.2676	78.6221	17	20	0
651	93.4122	77.8783	8.5	2	0
652	94.995	73.8992	6.2	16	0
653	94.621	73.3629	18.8	16	0
654	94.6714	73.1895	14.6	16	0
655	90.3507	73.6475	25	20	0
656	90.5006	72.4029	6.8	2	0
657	88.0312	71.3146	6.3	4	0
658	92.0163	71.793	10.5	20	0
659	89.6357	70.4644	15.5	20	0
660	92.0189	69.0884	42	22	0
661	97.6017	64.3006	22	16	0
662	99.791	59.7684	8.8	11	0
663	82.1316	43.3826	6	16	0
664	91.4781	64.9287	38.5	22	0
665	92.0633	64.3834	7.5	2	0
666	99.0714	68.1903	21.8	19	0
667	92.1256	63.1077	45	22	0
668	93.0014	63.1614	6	2	0
669	89.0393	55.1241	19.6	8	0
670	88.8106	55.1868	22	8	0
671	88.0712	52.8102	8	18	0
672	87.4096	52.6688	9.2	11	0
673	91.1744	50.9422	16.4	8	0
674	88.6072	47.2513	9.3	18	0
675	89.4331	45.1134	11.1	9	0
676	90.3469	42.5401	20.8	8	0
677	88.0707	42.6522	29.1	2	0
678	85.4867	44.7988	35.5	8	0
679	85.1343	44.6617	9.1	19	0
680	83.5923	46.1879	30	22	0
681	83.122	46.695	5.8	20	0
682	82.5605	44.281	7	2	0
683	82.1616	43.4915	6.8	16	0
684	98.1934	43.8964	24.4	8	0
685	98.0741	40.6593	25.2	8	0
686	99.0017	40.9974	11.5	4	0
687	98.9311	41.754	10.8	4	0
688	98.5329	38.6014	15.6	8	0
689	99.7269	37.9592	23.3	8	0
690	97.6467	26.0318	6.4	22	0
691	87.7559	21.8834	6.1	16	0
692	89.1441	20.2596	34	18	0
693	89.4943	17.8346	35.5	18	0
694	92.0795	17.7955	21.9	2	0
695	89.7808	14.7594	53.5	18	0
696	90.3075	13.4829	13	2	0
