Number	x	y	dbh	species	ht
236	94.912	19.1465	9.9 	26	7.5 
237	97.6967	20.6271	17.6 	26	14.0 
238	97.6179	20.4739	14.9 	26	13.1 
239	101.2128	18.8137	22.8 	26	15.0 
240	109.8377	25.4697	28.0 	26	18.0 
241	132.9649	32.728	31.0 	26	17.9 
242	136.9422	30.1969	5.3 	26	5.9 
243	136.9712	35.2042	16.6 	26	12.6 
244	135.5619	35.6461	26.6 	26	18.4 
245	134.6937	37.1685	22.9 	26	15.2 
246	130.127	52.456	36.5 	26	18.8 
247	126.243	51.1081	17.0 	26	19.2 
248	128.2468	48.977	33.4 	26	21.5 
249	123.2064	46.2387	25.4 	26	17.3 
250	103.8418	29.3714	24.5 	26	21.1 
251	89.2444	37.168	14.6 	26	18.3 
252	75.956	29.4874	16.5 	26	19.3 
253	81.5183	29.0513	31.4 	26	20.6 
254	88.7139	32.4472	42.9 	26	20.4 
255	89.2923	30.448	17.0 	26	14.9 
256	97.8513	28.7249	22.5 	26	16.3 
257	96.5305	22.2188	23.0 	26	18.4 
258	98.9158	23.4197	30.0 	26	19.0 
259	71.2868	35.0701	6.4 	26	7.0 
260	73.3874	36.3072	24.9 	26	21.8 
261	74.0249	51.4441	26.1 	26	19.9 
262	73.7786	57.9635	13.7 	26	11.6 
263	76.7796	65.3009	22.3 	26	18.5 
264	84.9463	62.2614	27.9 	26	18.3 
265	89.4699	68.2716	25.9 	26	19.6 
266	94.5782	67.5658	23.6 	26	17.3 
267	96.5458	51.5121	5.3 	26	6.8 
268	98.1286	43.8238	38.0 	26	21.0 
269	102.4144	55.625	24.5 	26	18.7 
270	101.956	56.5812	30.0 	26	19.9 
271	98.1978	61.0614	13.0 	26	13.1 
272	98.5487	64.4746	25.6 	26	21.0 
273	101.5257	63.3206	17.4 	26	14.5 
274	110.4937	63.7351	39.6 	26	21.3 
275	113.9402	64.9435	16.6 	26	13.9 
276	112.0124	49.2831	38.4 	26	21.3 
277	116.0029	51.7478	7.8 	26	5.8 
278	119.0657	62.0745	22.0 	26	19.9 
279	123.5333	62.6844	36.9 	26	21.6 
280	122.2672	60.6987	7.0 	26	4.2 
281	125.5958	62.3883	70.5 	26	21.1 
282	138.9483	67.6093	35.1 	26	18.8 
283	88.1171	11.7235	7.8 	27	9.6 
284	81.6219	52.4479	14.8 	27	10.7 
285	101.9293	53.912	8.8 	27	9.6 
286	132.0229	11.7604	5.5 	28	9.2 
287	110.0581	7.8426	6.5 	28	4.1 
288	110.0111	7.8	5.4 	28	6.8 
289	109.817	6.8069	5.3 	28	6.4 
290	104.2333	0.0423	9.3 	29	9.3 
291	100.6923	6.8023	7.0 	29	7.5 
292	90.6537	44.9746	34.9 	29	19.9 
293	80.3439	22.8346	39.9 	30	22.7 
294	125.5024	3.1687	14.9 	30	13.5 
295	122.2779	6.7773	8.5 	30	11.3 
296	139.5834	2.0389	30.6 	30	21.1 
297	139.6642	2.2779	21.0 	30	15.2 
298	113.5656	15.673	29.0 	30	18.4 
299	113.3474	18.0016	31.1 	30	19.6 
300	91.587	14.2587	29.4 	30	15.7 
301	100.82	19.6793	17.1 	30	13.8 
302	103.74	22.7651	16.3 	30	13.2 
303	108.5866	25.8584	19.4 	30	15.0 
304	113.8545	29.0783	28.5 	30	19.1 
305	116.941	28.777	22.8 	30	17.3 
306	136.3715	42.4974	32.8 	30	17.7 
307	133.1537	54.6694	23.5 	30	16.9 
308	114.9108	37.0129	28.0 	30	19.7 
309	115.776	39.1197	28.1 	30	15.6 
310	110.3134	33.3564	15.2 	30	11.8 
311	103.6222	32.4912	16.3 	30	16.8 
312	91.6239	37.9019	43.5 	30	19.4 
313	88.1641	35.7723	33.6 	30	20.5 
314	86.3866	36.8126	18.1 	30	18.5 
315	87.5025	33.5633	35.2 	30	19.0 
316	94.2586	28.7031	17.9 	30	9.1 
317	72.9378	41.7325	22.5 	30	18.9 
318	76.5167	41.4188	16.5 	30	16.3 
319	73.9285	59.1598	33.9 	30	19.5 
320	76.3825	64.6056	27.1 	30	17.2 
