plot	Number	dbh	height	x	y	species
1	165	16.4	11.6	5.7323	7.896	33
1	450	7.6	9.1	35.9135	15.3405	33
1	166	8.6	12.8	59.2942	2.0696	34
1	167	7	12.5	50.5014	5.2251	34
1	168	7.7	11.3	47.7025	1.354	34
1	169	7	10.7	42.133	11.3562	34
1	170	5	9.8	42.4427	7.2724	34
1	171	6.8	8.1	52.5022	20.0162	34
1	172	5.8	10.1	47.1743	21.0676	34
1	173	8.2	5.5	36.0291	18.4683	34
1	174	5.1	9.2	13.7008	3.4749	34
1	175	6.7	11.6	22.3851	22.3862	34
1	176	6	7	20.7217	38.4285	34
1	177	5.6	7	13.9449	37.3871	34
1	178	5.3	7	17.189	37.2599	34
1	179	5.9	9.3	10.6934	19.1521	34
1	180	10.6	9	16.3439	22.9494	34
1	181	6.5	7.7	15.4898	27.9469	34
1	182	6.9	11.3	11.0701	33.3623	34
1	183	6.2	10.3	12.5172	48.9317	34
1	184	5.8	10.3	21.5526	46.3541	34
1	185	6.5	10.5	47.53387885	2.207502729	34
1	186	5	7.2	1.2479	5.8384	34
1	187	5.9	8.6	57.9146	30.8803	35
1	188	14	10.1	52.8525	30.8703	35
1	189	15.2	14.3	42.9094	35.1107	35
1	190	9.8	5.3	41.2197	42.9217	35
1	191	13.1	10	39.3629	40.3312	35
1	192	21.9	12	36.872	42.7114	35
1	193	32.4	12	32.7098	34.4786	35
1	194	6.7	12.8	6.9509	46.6106	35
1	195	8.3	15.2	7.6319	50.2062	35
1	196	8.9	11	5.7806	53.8224	35
1	197	6.3	11.3	14.503	53.4797	35
1	198	6.7	11.2	15.0581	54.7089	35
1	199	10.1	10	30.0187	48.1939	35
1	200	12.2	13.7	43.1272	44.5278	35
1	201	17.4	16.5	46.2228	43.5636	35
1	202	5.2	10.5	43.6075	41.594	35
1	203	8.2	14.2	3.8625	53.1798	35
1	204	6.6	10.9	12.7446	58.0892	35
1	205	9.7	12	21.6887	58.8728	35
1	206	9.2	13.2	19.8114	56.9356	35
1	207	19.9	10.3	30.7852	56.7699	35
1	208	10.7	13.6	28.9402	56.1721	35
1	209	23.7	15.2	29.3206	56.1043	35
1	210	17.4	13.7	53.1224	27.0475	35
1	211	6.1	10.3	8.3027	36.2622	36
1	212	9	12.1	19.7852	50.5093	36
1	213	8.3	11	58.2375	54.3961	36
1	214	7.5	9.7	55.266	51.5797	36
1	215	9.4	11.2	55.3216	51.6617	36
1	216	10.7	12.5	57.4359	50.9604	36
1	217	7.2	8.1	52.0455	58.2401	36
1	218	26.1	17.6	50.6478	14.4896	37
1	219	11.4	16.7	49.1729	22.085	37
1	220	29.4	15.2	52.3812	19.9926	37
1	221	15.4	13.2	37.3454	22.6282	37
1	222	19.7	13.4	37.1929	23.6452	37
1	223	10.3	12.7	36.2633	23.6586	37
1	224	23.8	15.7	42.4323	24.2483	37
1	225	7.4	12.8	12.4294	59.554	37
1	226	18.9	16.3	48.9061	6.4291	38
1	227	6.5	9.6	48.628	21.4432	38
1	228	5.4	10.9	20.6585	32.0264	38
1	229	15	13.7	54.4854	13.7464	39
1	230	10.1	13.5	48.8168	14.4534	39
1	231	6.6	11.2	48.8764	11.2274	39
1	232	5.4	10.2	49.6782	9.6659	39
1	233	19.4	10.6	33.7334	0.982	39
1	234	13.3	13.2	19.8435	2.0328	39
1	235	7.9	9.8	33.5592	20.8617	39
1	236	11.5	10.2	9.5906	2.0753	39
1	237	10.2	8.1	37.2983	29.704	39
1	238	6.5	12.1	40.9849	32.5213	39
1	239	8.2	10.2	41.8487	28.8314	39
1	240	9.4	10.4	57.6567	25.5941	39
1	241	5.6	10	57.1242	29.5014	39
1	242	6.4	10.8	55.0818	30.5423	39
1	243	6	8.5	45.6829	39.8412	39
1	244	6	11.4	34.6518	30.3272	39
1	245	5.2	10.4	10.8808	18.0084	39
1	246	6.2	9.7	9.5254	29.6567	39
1	247	8.8	12.8	4.616	50.0143	39
1	248	8.8	11.4	14.4844	52.3996	39
1	249	11.3	13.2	26.87	47.2209	39
1	250	9.8	13.9	35.6956	51.3206	39
1	251	6.8	12	49.4169	37.3177	39
1	252	14.5	14.9	55.6845	42.6807	39
1	253	5.4	7.5	4.7183	53.3168	39
1	254	5.8	12.1	4.2249	54.1404	39
1	255	8.1	7.2	9.3342	58.7868	39
1	256	7	12.6	20.6671	32.3735	39
1	257	5.1	7	30.3412	58.7593	39
1	258	5	10.6	35.4733	54.5114	39
1	259	15.1	12.8	43.7296	56.6926	39
1	260	9.3	13.1	50.4187	51.1692	39
1	261	5.3	7.8	16.9785132	7.279365201	39
1	262	6.4	9.5	48.01208398	9.261349169	39
1	263	26	15.6	59.8875	4.0503	39
1	264	20	13.2	33.701	21.5899	39
1	265	8.5	10.7	28.1832	19.6774	39
1	266	26.1	12	8.8633	3.6925	39
1	267	19.9	13.2	22.6021	42.255	39
1	268	17.9	10.8	19.9879	30.4406	39
1	269	6.2	7.1	19.8178	31.9692	39
1	270	27.4	16.8	51.8182	6.9738	40
1	271	11.4	13.8	54.636	9.8041	40
1	272	18.1	15.4	55.9139	9.5028	40
1	273	18.8	13.2	52.1263	12.5927	40
1	274	29.2	16.8	49.2583	5.5736	40
1	275	27.8	16.7	51.7178	0.607	40
1	276	8.9	12.7	48.5239	2.5573	40
1	277	8.9	12.1	45.4292	12.231	40
1	278	33.4	17.8	26.9963	1.1401	40
1	279	22.9	14	23.3212	0.1815	40
1	280	16.8	13.8	38.4615	7.366	40
1	281	24.1	12.9	42.5204	8.9489	40
1	282	12.5	11.5	43.8657	10.6025	40
1	283	14.7	11.5	51.7676	14.893	40
1	284	20.7	16.1	56.1083	15.4969	40
1	285	16.5	16.1	57.4324	24.1539	40
1	286	16.3	14.2	55.479	23.1634	40
1	287	20.2	16.7	50.9833	25.3236	40
1	288	29.4	14.3	28.7411	13.3623	40
1	289	30.8	23	27.2546	11.5449	40
1	290	36.8	22.6	29.2413	15.2352	40
1	291	10.4	12.9	44.738	16.1067	40
1	292	19.1	13.6	39.7453	17.5904	40
1	293	7.8	7.1	37.9234	20.1947	40
1	294	8.7	12.9	38.5539	21.1002	40
1	295	14.8	13.1	38.4656	21.5924	40
1	296	14.6	12.7	35.7882	22.8005	40
1	297	12.3	11.3	32.5747	21.5339	40
1	298	7.7	5.6	32.5051	19.6979	40
1	299	8.7	9.8	31.4604	20.2012	40
1	300	11.1	12.8	24.6152	17.2854	40
1	301	39.7	22.1	23.0844	15.9627	40
1	302	33	23	24.1241	15.4739	40
1	303	9.6	11.4	16.8419	6.1073	40
1	304	13.6	11.2	16.13416692	11.8168617	40
1	305	18.3	15.4	12.9356	8.1109	40
1	306	12.2	10.4	13.8585	6.4639	40
1	307	12	14.2	16.7574	4.3015	40
1	308	8.6	12.4	10.5936	4.1639	40
1	309	22.5	14.4	10.7413	0.587	40
1	310	11.8	10.7	8.7176	0.8679	40
1	311	8.8	10	26.635	22.4076	40
1	312	10.9	11.3	31.3409	25.8775	40
1	313	9.2	3.7	33.3317	26.4378	40
1	314	13.1	12.3	32.7049	27.2199	40
1	315	7.8	9.7	32.8501	26.4641	40
1	316	7.8	7.8	34.0234	29.4261	40
1	317	10.2	8.1	39.1518	30.9611	40
1	318	6.7	8.1	38.8754	33.5757	40
1	319	24.3	15.7	40.9174	33.1332	40
1	320	20.1	18.1	45.466	27.9588	40
1	321	20.2	16.1	44.9634	24.5377	40
1	322	25.6	15.8	47.9057	29.1994	40
1	323	9.5	9.6	50.4982	28.3505	40
1	324	27.1	15.7	58.5628	31.6289	40
1	325	17.8	11.6	50.9183	31.9462	40
1	326	21.3	12	46.2357	34.3879	40
1	327	10.2	11.6	46.617	31.8938	40
1	328	8.5	9.5	44.017	37.7403	40
1	329	9.7	11	32.9002	41.6747	40
1	330	11.1	10.1	34.8378	35.4113	40
1	331	16.2	11	31.7619	36.071	40
1	332	21.3	12	30.6723	36.2469	40
1	333	5.7	7	36.3179	32.7144	40
1	334	9.3	9.2	32.3959	32.8783	40
1	335	11.2	11.5	31.7831	32.4041	40
1	336	13.8	12.4	17.5329	32.2157	40
1	337	20.9	15	6.8151	4.7702	40
1	338	27.3	15.4	5.1375	9.1731	40
1	339	29.4	20.4	0.4134	18.074	40
1	340	20.9	9.2	11.7125	31.1167	40
1	341	9	12.3	11.2639	34.5197	40
1	342	10.9	10.3	7.0864	31.8275	40
1	343	20.7	14.2	9.3743	35.1947	40
1	344	8.6	11.4	2.804	29.5083	40
1	345	19.7	16.2	7.1885	38.9774	40
1	346	18.5	15.6	4.7431	40.7175	40
1	347	13	10	9.8826	38.117	40
1	348	8.4	12	14.1321	43.9989	40
1	349	10.9	11	11.3712	48.5095	40
1	350	8.8	12.7	8.9379	47.5793	40
1	351	9.2	14.8	8.2597	44.8772	40
1	352	7.3	11.6	4.2271	47.8489	40
1	353	11.2	10.5	6.1755	50.2741	40
1	354	16.3	15.2	10.2506	52.0768	40
1	355	7.6	10.3	14.3637	52.4448	40
1	356	6.9	8.9	14.5288	51.4183	40
1	357	6.1	12.4	13.2459	51.6738	40
1	358	14	12.7	14.3564	53.6444	40
1	359	16.2	16.6	31.7666	52.6334	40
1	360	19.5	15	36.6445	50.6604	40
1	361	9.5	9.7	38.0881	50.7463	40
1	362	20.6	16.1	39.1923	51.555	40
1	363	15.9	14.8	41.1807	51.4986	40
1	364	5.3	4.5	41.0346	50.2142	40
1	365	20.2	16.1	43.2447	48.1026	40
1	366	18.2	15	44.1977	48.5719	40
1	367	11.4	13.6	47.1075	45.3647	40
1	368	11.3	14.5	47.7653	46.4524	40
1	369	9.9	13.6	48.6103	44.823	40
1	370	9	12.7	50.0461	44.393	40
1	371	14.8	14.3	47.1954	40.7066	40
1	372	12.2	13.1	47.8579	40.5406	40
1	373	8.3	11.8	49.6805	38.4249	40
1	374	14.5	14.7	51.8094	38.9603	40
1	375	11.5	13.5	53.4242	39.7123	40
1	376	6.4	12.7	54.0323	34.0504	40
1	377	25.5	16.3	59.2275	37.6543	40
1	378	7.8	8.7	56.2065	40.0316	40
1	379	23.7	15.7	51.364	52.7412	40
1	380	18.4	15.4	56.4894	46.6422	40
1	381	12.7	10.5	0.2493	47.5947	40
1	382	6.2	9	0.6562	49.1521	40
1	383	9	9.2	10.5397	56.075	40
1	384	28.4	23.6	0.455	37.6432	40
1	385	26	13.5	0.7784	34.4551	40
1	386	9.1	13.2	1.0246	43.6647	40
1	387	22.7	12.5	19.1339	28.3486	40
1	388	18.5	13.6	19.2311	27.9637	40
1	389	17.5	21	31.341	59.8048	40
1	390	5.6	12.2	32.0739	57.8382	40
1	391	8.5	8.9	31.3341	55.6854	40
1	392	15.3	16.4	35.4547	54.4968	40
1	393	7	10.2	35.5624	56.5329	40
1	394	21.2	15.4	46.543	56.6052	40
1	395	12.6	14.7	47.7256	49.6902	40
1	396	16.6	12.1	49.7929	57.1986	40
1	397	20.1	17.8	27.0969	31.4049	40
1	398	16	16.2	33.8035	48.3242	40
1	399	8.4	7.6	26.2742	9.8909	40
1	400	14.2	15	32.6036	25.5094	40
1	401	8.8	13.1	33.7771	23.9368	40
1	402	6.7	6.7	3.578	2.7645	40
1	403	13.4	14.4	0.8943	1.473	40
1	404	7.8	6.5	2.0537	40.2999	40
1	405	6.4	8.7	5.3234	51.9433	40
1	406	8.6	9.5	33.7245	21.1906	40
1	407	12.5	11.3	44.4016	27.6813	40
1	408	8.7	7.9	39.9945	48.8523	40
1	409	13	12.1	56.0167	34.0666	40
1	410	6.3	9.6	54.413	13.4207	41
1	411	15.5	12.8	46.0321	0.7471	41
1	412	6.1	5.6	58.9653	24.2531	41
1	413	16	13.2	50.6685	23.2567	41
1	414	13.1	12.7	48.8422	18.9264	41
1	415	23.9	13.8	37.8507	10.255	41
1	416	14.6	12.7	36.5964	13.2423	41
1	417	14.6	12.7	30.8272	20.3868	41
1	418	28.7	13.8	19.388	10.1998	41
1	419	18	11.8	28.8807	25.235	41
1	420	10.7	10.5	33.9799	28.3756	41
1	421	11.8	17.5	44.396	27.5267	41
1	422	9	11.6	44.6781	21.8155	41
1	423	5.7	10.5	5.6594	23.1813	41
1	424	6	10.6	5.8636	23.087	41
1	425	8.6	10.8	7.608	32.7052	41
1	426	6.2	11.6	4.6467	48.4577	41
1	427	11.1	12.4	25.8557	45.0963	41
1	428	8.5	11.3	32.8327	52.3967	41
1	429	7.5	7.6	31.9344	57.814	41
1	430	5.4	6	32.4278	55.3148	41
1	431	5.6	6.6	28.9872	21.9423	41
1	432	7	8.2	27.2797	39.5313	41
1	433	18.9	10.3	8.9211	9.6377	41
1	434	8.8	3.7	58.837	7.7058	42
1	435	8.8	10.5	52.5881	10.3579	42
1	436	6.3	6.6	59.3387	17.3441	42
1	437	6.2	8.7	38.449	21.691	42
1	438	7	8.7	10.481	15.1103	42
1	439	8.9	8.7	13.4719	17.2756	42
1	440	5.7	9.6	12.3769	11.7269	42
1	441	7	10.4	15.6203	28.2158	42
1	442	8.3	8.1	57.4141	42.9187	42
1	443	7.8	5.2	5.0534	2.8095	42
1	444	5.8	3.2	13.4201	22.4831	42
1	445	5.1	3.5	41.94525797	2.728522222	42
1	446	15.3	14	15.1159	36.5447	43
1	447	27.7	26.3	14.5293	46.8184	43
1	448	6.4	7	13.4287	57.8678	43
1	449	14.5	13.7	48.691	20.6378	44
1	451	11.7	11.4	34.0167	32.5235	44
1	452	30.1	16.9	59.7188	6.2352	45
1	453	7	7.8	36.4389	3.569	45
1	454	6.3	10.7	32.4367	6.8592	45
1	455	6.4	7.5	42.8758	8.5812	45
1	456	19.6	15.8	44.769	10.3902	45
1	457	15.5	15.4	53.0042	23.1831	45
1	458	16.4	12.7	33.3925	11.1928	45
1	459	16.2	11.3	27.0512	7.4965	45
1	460	20.7	20.4	16.152	7.894	45
1	461	11.3	13.4	7.1891	0.6216	45
1	462	7.8	9.6	43.7586	30.2177	45
1	463	29.3	17.6	10.9633	16.9955	45
1	464	5.6	9.6	11.0145	16.8291	45
1	465	7.9	12.8	3.7359	40.0648	45
1	466	9.3	12.3	28.6335	50.1654	45
1	467	13.8	10.6	29.2738	51.3837	45
1	468	7.7	13.5	47.1306	40.6299	45
1	469	14.2	16.8	58.9292	59.1385	45
1	470	9	11.1	58.9613	59.1154	45
1	471	8.3	11.8	32.4704	6.6249	45
1	472	8	6.7	46.6509	18.855	46
1	473	19	14.7	50.4703	40.7275	46
1	474	15.6	15.5	50.4196	40.6662	46
1	475	10.3	12.3	41.6919	32.2176	47
1	476	8.5	13.5	55.2238	6.1525	48
1	477	15.6	11.1	49.6471	15.1858	48
1	478	19.5	15.4	59.8761	22.7537	48
1	479	8.1	12.7	40.517	19.867	48
1	480	5.5	10.7	11.6125	6.0355	48
1	481	9.6	12.4	10.5662	1.7908	48
1	482	8.1	11.2	53.4618	25.6481	48
1	483	8.5	9	58.2575	26.7076	48
1	484	7.9	12.3	27.5074	41.8084	48
1	485	22.7	12.5	14.3667	37.4726	48
1	486	12.8	11.8	21.4671	29.4197	48
1	487	10.1	12.2	1.4621	45.0234	48
1	488	7.8	12.1	44.5804	46.2303	49
