Tree	x	y	dbh	species	height
285	30.4267	58.7481	8	1	0
286	31.318	57.0485	13.7	1	0
287	32.7369	55.1726	9.8	1	0
288	32.1713	51.7974	18.3	1	0
289	32.1874	49.9261	8.6	1	0
290	31.7599	47.9215	9.2	1	0
291	32.4878	46.9985	11.8	1	0
292	32.6371	44.7126	20.4	1	0
293	34.8334	44.8019	8	1	0
294	34.8264	42.6501	7.3	1	0
295	32.6675	42.4133	9	1	0
296	32.938	41.2811	6.3	1	0
297	33.446	40.0069	16.1	1	0
298	34.267	38.2284	11.5	1	0
299	34.795	35.9644	4.8	1	0
300	37.6415	33.9362	19.2	1	0
301	37.8913	31.7841	14.2	1	0
302	38.4368	29.9318	11.9	1	0
303	39.5543	38.6084	5.1	6	0
304	35.1851	31.3626	16.1	1	0
305	34.7749	31.2167	6.6	3	0
306	34.6291	27.4305	9.8	1	0
307	33.0883	29.6873	5.8	3	0
308	31.3948	30.6061	14.6	1	0
309	29.8507	33.0691	7.3	5	0
310	30.5352	33.2857	6.7	5	0
311	31.0166	33.7731	5.6	5	0
312	30.6605	33.9272	5.6	5	0
313	29.802	35.4987	13.4	1	0
314	28.8566	37.7935	15	1	0
315	29.0296	39.1502	5.6	1	0
316	32.7363	32.5994	10	2	0
317	32.4181	33.6067	8.6	1	0
318	32.3466	34.6709	5.8	4	0
319	32.4471	35.9945	7.5	1	0
320	32.0567	36.9244	12.6	1	0
321	31.3653	38.3388	8	1	0
322	29.8725	40.5572	12.3	1	0
323	30.0759	41.9521	12	1	0
324	29.9919	43.3775	9.3	1	0
325	30.2118	45.6228	13.5	1	0
326	28.1803	45.0118	6.3	5	0
327	27.7503	46.6097	8.1	1	0
328	29.4571	47.6036	12.1	1	0
329	28.9286	49.0916	11.5	1	0
330	29.3029	50.5055	8.1	1	0
331	27.3576	51.1082	10.2	1	0
332	29.2185	52.8482	15.5	1	0
333	28.1824	53.992	9	1	0
334	25.3925	49.5244	11.6	1	0
335	24.5774	50.9987	8.3	1	0
336	24.4232	52.9763	8.3	1	0
337	24.4013	54.0707	6.5	1	0
338	25.7366	54.3016	10	1	0
339	24.1433	55.5065	13.5	1	0
340	25.9992	55.5097	9.7	1	0
341	25.7183	56.5957	6.4	1	0
342	26.0978	58.7278	12	1	0
343	27.9197	57.881	15.6	1	0
344	27.3939	58.8183	6.7	1	0
345	25.8395	61.7269	12	1	0
346	27.3992	62.1329	7.1	1	0
347	25.8815	63.1503	10.7	1	0
348	26.6028	64.4313	8.3	1	0
349	25.3827	65.6264	9.8	1	0
350	26.9232	65.9251	5.7	1	0
351	25.739	67.2251	10.1	1	0
352	27.1963	68.1382	9.3	1	0
353	27.0589	69.7486	12.7	1	0
354	25.623	70.4875	11.9	1	0
355	26.6911	72.2139	11.5	1	0
356	25.5542	74.059	6.7	1	0
357	27.0022	74.6747	9.5	1	0
358	27.0255	75.9411	11.5	1	0
359	28.9796	70.6996	5.9	4	0
360	28.9767	72.7843	11.5	1	0
361	29.2142	74.2118	7.2	1	0
362	30.2698	74.1424	5.8	4	0
363	29.8339	75.6666	8.2	1	0
364	26.8897	78.3911	11.5	1	0
365	25.3858	76.0001	7.8	1	0
366	23.3222	79.6107	9.3	1	0
367	20.9225	78.8726	10	1	0
368	21.2757	77.241	9	1	0
369	23.2528	78.0087	6.9	1	0
370	24.5872	78.5132	7	1	0
371	24.4016	76.9246	8.9	1	0
372	24.1375	74.639	8.5	1	0
373	24.1901	74.497	9.1	1	0
374	24.3264	72.6778	9.1	1	0
375	21.6606	75.3114	14.8	1	0
376	21.9016	73.5107	13.5	1	0
377	21.6047	72.0992	9.4	1	0
378	23.3638	71.0174	8.3	1	0
379	21.4863	69.8422	8.2	1	0
380	21.3479	68.8397	13	1	0
381	23.6058	68.1339	6	1	0
382	21.1479	67.2869	9.8	1	0
383	23.337	66.4051	6.9	1	0
384	22.6481	65.1251	6.4	1	0
385	21.0978	65.361	11	1	0
386	21.1531	64.3417	8.5	1	0
387	20.7192	62.2479	14	1	0
388	23.0768	62.2901	6.7	1	0
389	20.4558	59.9979	9.5	1	0
390	20.4419	57.6253	14	1	0
391	23.4423	58.4949	6.3	1	0
392	22.3102	56.9326	9.5	1	0
393	21.2679	55.6528	11.1	1	0
394	22.6121	54.9399	6.6	1	0
395	21.7196	53.8155	10.3	1	0
396	21.4746	52.3078	11.7	1	0
397	21.7526	51.7174	9.5	1	0
398	22.288	50.018	5.8	1	0
399	22.5865	47.4139	6.8	1	0
400	22.7993	46.0602	12	5	0
401	24.7156	47.3935	8.4	1	0
402	24.1704	45.0954	13.5	1	0
403	25.1781	44.6062	10.6	5	0
404	27.0752	43.9337	9	1	0
405	27.3373	43.1211	10.7	1	0
406	25.1835	42.4033	10	5	0
407	26.5493	41.3711	5.4	5	0
408	24.9115	40.6937	11.5	5	0
409	25.0073	39.8362	8.4	5	0
410	25.2194	39.3339	6.8	5	0
411	25.8604	38.9382	5.6	5	0
412	24.7003	38.7178	10.7	5	0
413	23.922	39.5907	6.6	5	0
414	26.2229	36.3054	8.5	5	0
415	26.8714	36.1454	8.1	5	0
416	27.3783	34.0154	6.5	1	0
417	27.7703	32.9009	6.3	1	0
418	29.2537	32.0711	11.2	1	0
419	29.3907	30.063	9.1	1	0
