treeno,species,x,y,dbh,ht,cw,,check
371,9,13.358,13.882,3.5,4.5,8.8,,
372,9,13.159,13.822,5.2,6.1,9.6,,
373,9,12.843,13.334,14.1,11.6,13,,
374,9,13.04,13.763,1.6,2.4,7.7,,
375,9,13.089,14.261,2.5,3.4,8.3,,
376,9,12.89,14.665,3.7,4.7,9,,
377,9,12.616,14.507,6.3,7,10.1,,
378,3,8.211,11.113,1.2,1.8,5.6,,
379,3,7.042,13.401,1.2,1.8,5.9,,
380,3,6.258,14.422,1.2,1.8,5.9,,
381,3,4.924,14.163,1.1,1.7,5.5,,
382,3,4.641,14.219,1.3,2,5.5,,
383,9,5.659,14.213,3.2,4.2,6.8,,
384,9,5.751,14.638,8.2,8.4,9.2,,
385,12,3.008,13.851,14.3,11.4,10.6,,
386,13,4.8,10.581,43,21.5,20,,
387,12,3.571,11.386,8.1,8.1,7.8,,
388,12,3.205,11.594,10.5,9.6,8.7,,
389,10,2.962,11.669,1.1,2,4.4,,
390,10,1.712,11.359,1.5,2.3,4.2,,
391,12,0.613,13.772,13.1,10.8,9.6,,
392,12,1.071,13.613,17.6,12.6,11.2,,
393,12,1.191,13.987,14.8,11.6,10.4,,
394,9,3.386,14.678,5.3,6.2,7.4,,
395,9,4.671,16.271,10,9.5,10.1,,
396,9,4.657,13.926,2.1,3,5.9,,
397,9,4.605,17.417,5.8,6.6,8.6,,
398,9,2.789,18.317,8.3,8.5,9.5,,
399,3,3.501,18.307,1.1,1.7,6.2,,
400,3,4.758,18.884,1.5,2.2,6.8,,
401,3,6.446,19.033,1.3,2,7.2,,
402,9,4.524,19.689,12,10.6,11.7,,
403,9,4.588,19.725,7.6,8,10,,
404,9,5.375,19.567,4.2,5.2,8.6,,
405,9,8.534,18.058,4.6,5.6,9.2,,
406,9,8.628,18.207,12.5,10.9,12.5,,
407,9,8.594,18.144,10.9,10,11.9,,
408,12,7.726,20,15.7,11.9,13.8,,
409,9,4.775,22.709,6.5,7.2,10.3,,
410,12,6.182,24.513,28.9,15.4,18.7,,
411,10,6.427,24.356,1.7,2.5,8.7,,
412,12,5.696,25.78,36,16.5,21,,
413,12,4.974,26.022,31.9,15.9,19.7,,
414,3,2.28,23.283,1.1,1.7,7.1,,
415,3,2.46,24.164,1.2,1.8,7.4,,
416,9,1.71,23.787,1.2,1.8,7.1,,
417,4,0.726,23.401,1.2,1.7,6.8,,
418,10,0.926,24.471,1.7,2.5,7.4,,
419,4,2.861,24.776,1.2,1.7,7.6,,
420,9,2.582,25.065,1.8,2.6,8,,
421,10,0.51,27.831,2.2,2.9,8.4,,
422,3,1.929,27.861,1.8,2.6,8.5,,
423,10,5.164,28.191,1.5,2.3,9.3,,
424,10,5.818,28.734,1.2,2,9.4,,
425,12,5.808,29.397,20.8,13.6,17.4,,
426,9,8.873,28.117,8.2,8.4,13.4,,
427,9,8.785,28.495,4.5,5.5,11.8,,
428,10,14.779,28.978,2.4,3.1,12.3,,
429,9,15.693,29.585,1.4,2.1,12.2,,
430,9,16.192,28.935,1.2,1.8,12,,
