Tree	x	y	dbh	species	height
298	11.5076	62.7527	43.1	9	0
299	22.589	22.6818	22.4	9	0
300	16.9614	13.5205	37	9	0
301	12.3418	22.8769	40.1	9	0
302	6.6804	56.6237	32.2	9	0
303	6.4173	59.2988	30.5	9	0
304	10.4649	26.226	17.3	9	0
305	11.3415	16.0584	27.2	9	0
306	71.3565	97.9028	35.3	9	0
307	51.9795	84.3253	43.3	9	0
308	45.4272	85.0443	34.8	9	0
309	37.3373	79.6037	22.2	9	0
310	23.6483	79.189	24.7	9	0
311	21.4663	81.3698	36	9	0
312	20.0672	75.8225	24.3	9	0
313	7.3781	77.4619	24.8	9	0
314	15.9366	84.1716	36.6	9	0
315	20.1337	90.0346	28	9	0
316	49.4987	41.253	26.2	9	0
317	53.0162	97.9972	35.1	9	0
318	21.4324	98.4212	26.1	9	0
319	11.8292	90.3244	32.6	9	0
320	0.8326	93.7808	32	9	0
321	1.2707	89.8894	25.3	9	0
322	0.4473	56.7789	31.9	9	0
323	0.5131	52.156	30.8	9	0
324	58.27081008	77.58991417	29.5	9	0
325	72.1051	16.6464	8.3	10	0
326	70.6569	20.9557	8.9	10	0
327	71.91573262	22.44494156	8.2	10	0
328	66.6275	21.9122	12.65	10	0
329	67.329	19.9318	10.4	10	0
330	64.2274	15.7354	9.85	10	0
331	65.3549	19.3699	8.15	10	0
332	46.0134	27.3751	14.2	11	0
333	20.0661	36.1361	15.8	11	0
334	50.3343	6.5459	28.4	11	0
335	97.3735	14.3564	8.1	12	0
336	94.0534	25.8248	16	12	0
337	95.9178	29.2523	12.7	12	0
338	95.9967	29.9839	12.8	12	0
339	97.0616	33.5113	13.2	12	0
340	96.5329	46.2121	8.2	12	0
341	96.4817	52.8255	15.3	12	0
342	92.5181	59.7836	7.1	12	0
343	91.1729	60.2779	7.6	12	0
344	86.2533	62.4002	8.4	12	0
345	83.4815	56.7361	6	12	0
346	93.509	40.2392	10	12	0
347	90.475	24.736	7.1	12	0
348	91.8353	20.4655	9.6	12	0
349	85.1688	9.3606	8.3	12	0
350	83.1907	11.866	17.6	12	0
351	86.1503	13.5003	15.4	12	0
352	88.6436	22.1537	6.6	12	0
353	85.813	25.1286	7	12	0
354	87.7252	29.0194	8.9	12	0
355	81.325	44.7388	14	12	0
356	79.4891	49.3625	12.3	12	0
357	69.0466	86.228	6.7	12	0
358	85.1367	70.4403	6.9	12	0
359	78.0727	64.4073	13.75	12	0
360	70.7171	45.1329	8.1	12	0
361	76.4407	42.3556	14.1	12	0
362	80.31553706	28.3810029	8.3	12	0
363	75.4158	1.0836	6	12	0
364	72.7574	13.1343	6.7	12	0
365	69.4868	24.895	23.1	12	0
366	64.9243	17.6755	11.5	12	0
367	69.3181	48.6371	23.8	12	0
368	68.9458	61.1812	12.4	12	0
369	56.4216	79.2723	8.7	12	0
370	58.5387	45.8413	10.2	12	0
371	61.7421	43.2687	6	12	0
372	61.4585	8.5858	17.4	12	0
373	65.0458	3.0736	12	12	0
374	54.2911	23.6857	9.2	12	0
375	56.433	35.42	5.7	12	0
376	46.061	53.2347	15.2	12	0
377	45.7137	51.5908	13	12	0
378	53.1929	63.044	9.7	12	0
379	70.9425	60.8345	5.9	12	0
380	81.5857	64.346	5.4	12	0
381	55.4306	65.3468	7.5	12	0
382	50.2284	68.9205	7.1	12	0
383	46.7014	66.9376	11.8	12	0
384	41.3613	54.5384	15.9	12	0
385	39.5461	51.6874	21.6	12	0
386	41.6016	51.9731	13.3	12	0
387	35.2517	49.7851	12.5	12	0
388	51.5016	26.8354	12.9	12	0
389	52.5088	21.2425	9.2	12	0
390	50.739	17.0587	7.6	12	0
391	48.1658	20.4444	6.2	12	0
392	45.6707	24.6385	5.8	12	0
393	45.2414	25.7873	10.6	12	0
394	48.3118	31.0798	12.3	12	0
395	44.7139	30.4222	11.8	12	0
396	44.0643	30.4079	6.3	12	0
397	23.3004	60.3823	21.6	12	0
398	29.7954	36.2422	19.4	12	0
399	43.97	17.0051	5.3	12	0
400	29.7805	13.5576	12.8	12	0
401	22.1368	6.5359	12.3	12	0
402	26.8746	21.2515	15.1	12	0
403	24.4065	41.1387	16.6	12	0
404	10.642	57.2525	16.5	12	0
405	11.6698	42.9805	12.8	12	0
406	6.3962	45.878	28.1	12	0
407	7.0545	57.9091	16.5	12	0
408	7.6892	61.3519	15.1	12	0
409	6.8616	30.5917	10.6	12	0
410	6.4324	26.2691	6.2	12	0
411	2.1735	25	7.1	12	0
412	2.4941	18.8682	15.4	12	0
413	1.799	20.1257	5.5	12	0
414	11.5358	3.4742	7.1	12	0
415	3.5594	1.2907	11.2	12	0
416	63.8563	55.2762	5.3	12	0
417	85.7049	23.48	6.1	12	0
418	56.6617	83.5381	5.1	12	0
419	40.0793	85.6645	8.3	12	0
420	16.3631	79.8238	20.8	12	0
421	7.6827	73.0936	12.4	12	0
422	7.0139	82.8996	10.7	12	0
423	12.3083	87.2976	15.7	12	0
424	21.3529	86.6066	11.6	12	0
425	27.173	89.2875	12.3	12	0
426	18.9667	93.7623	5.2	12	0
427	38.7836	76.0985	9.2	12	0
428	0.3342	64.3242	15.3	12	0
429	0.998	63.1702	8.3	12	0
430	76.3026	49.9157	19.5	12	0
431	43.1726	21.1338	5.6	12	0
432	56.92132475	83.43565779	5.5	12	0
433	98.4532	0.8633	12.5	13	0
434	83.6228	34.3497	6.1	13	0
435	82.9346	29.5816	6	13	0
436	74.6413	24.5229	6.5	13	0
437	79.1481	13.4409	13.1	13	0
438	74.1737	81.9555	6.9	13	0
439	62.0142	21.9934	14.1	13	0
440	29.0422	49.1246	14.4	13	0
441	29.4214	32.1878	20.6	13	0
442	39.0174	8.1764	9	13	0
443	28.7105	18.4242	16.7	13	0
444	15.8124	67.2428	10.2	13	0
445	9.4857	37.0691	8.1	13	0
446	8.1515	10.3647	22.8	13	0
447	0.6222	70.6409	16.3	13	0
448	97.8627	9.9817	40.6	14	0
449	97.8593	10.7698	11.4	14	0
450	97.2723	13.7418	15.4	14	0
451	96.5632	17.1138	7.3	14	0
452	91.979	68.8803	9.2	14	0
453	96.7006	73.4002	6.9	14	0
454	96.663	74.6433	23.6	14	0
455	96.8291	76.4249	31.4	14	0
456	94.2188	85.2476	7.3	14	0
457	94.1286	84.9992	16.7	14	0
458	90.5034	84.3165	24	14	0
