treeno,species,x,y,dbh,ht,cw
190,2,49.7,11.417,9,8.2,19.6
191,12,47.196,12.225,20.5,13.5,23.3
192,12,45.153,11.545,18.3,12.8,22
193,12,44.607,10.57,15.8,11.9,20.7
194,12,41.606,14.166,9.5,9,18.6
195,2,38.922,11.383,2.1,2.9,13.8
196,12,38.44,11.679,8.2,8.2,16.6
197,6,37.339,10.2,6.9,8.7,15.8
198,6,37.843,11.86,35.6,20.3,26.4
199,12,37.915,12.411,6.5,7,16
200,6,37.03,14.307,19.7,16.2,21.8
201,2,36.361,18.957,8.5,7.9,17.9
202,6,33.074,14.304,29.8,19.1,24.1
203,2,30.529,13.492,10,8.9,15.7
204,2,31.925,16.296,5.1,5.4,14.7
205,2,31.23,17.275,6,6.1,15.1
206,2,30,18.084,2,2.8,13.2
207,2,27.375,19.478,8.5,7.9,15.8
208,9,27.068,20,7.7,8.1,15.7
209,2,25.392,19.8,13.5,11.1,17.4
210,2,27.704,17.308,2.3,3,12.6
211,2,26.398,16.232,4.4,4.8,13
212,2,27.79,15.752,9.6,8.6,15.4
213,2,26.758,14.794,7,6.8,13.8
214,6,28.377,14.908,25.5,18.1,21.7
215,2,28.557,13.978,11.9,10.1,16.1
216,9,27.577,13.759,6.7,7.3,13.8
217,9,25.195,13.79,20.4,13.9,18.3
218,9,25.185,13.79,5.1,6,12.5
219,13,22.884,16.338,23,17.3,19.9
220,13,23.12,16.611,9.7,11,15.1
221,9,22.643,16.689,10.4,9.8,14.9
222,9,22.612,16.551,3.3,4.3,11.7
223,9,22.413,16.852,9.6,9.3,14.5
224,9,21.131,15.725,9.7,9.4,14
225,9,20.734,13.351,9.4,9.2,13.2
226,9,20.658,13.435,12.6,10.9,14.4
227,9,15.323,15.88,4.1,5.1,10.1
228,1,14.217,15.576,11.1,9.6,12.6
229,13,14.029,18.192,28.4,18.8,19.9
230,1,13.069,17.666,11.3,9.7,12.9
231,1,10.754,12.592,31.7,19.2,18.6
232,9,0,12.569,20.2,13.8,11.6
233,9,2.235,23.294,13.7,11.4,12.7
234,9,2.004,23.421,5.4,6.3,9.3
235,9,3.072,22.827,21.6,14.2,15.4
236,9,3.518,22.632,21.3,14.1,15.4
237,9,3.219,23.063,24.5,15,16.4
238,9,2.365,25.009,5.1,6,9.6
239,1,10,21.792,33.1,19.7,21.2
240,1,7.222,25.166,32.7,19.6,21.2
241,1,9.376,27.262,13.2,10.9,15.2
242,1,15.28,22.4,15.9,12.4,16.5
243,6,14.446,24.241,43.1,21.5,25.8
244,1,14.647,26.951,10.8,9.4,15.5
245,12,14.594,28.16,7.4,7.6,14.4
246,9,16.382,28.227,7.5,7.9,15
247,12,16.898,29.662,19.4,13.1,19.8
248,2,18.52,29.579,7.3,7,15.6
249,12,20.755,28.724,27.6,15.1,23.1
250,12,21.917,28.38,13.8,11.1,18.8
251,12,23.236,27.17,6.1,6.7,15.8
252,2,22.023,29.3,7.1,6.9,16.3
