treeno,species,x,y,dbh
543,10,97.32,32.629,27.6
544,9,98.813,31.338,10.7
545,7,96.985,47.587,11.6
546,7,96.97,47.588,9.3
547,15,96.98,47.58,26
548,7,96.979,47.579,8.7
549,15,96.978,46.987,26.5
550,7,95.979,45.838,14
551,7,95.97,45.83,16.7
552,9,96.768,41.161,8.4
553,14,95.95,40.01,31
554,16,93.01,42.66,1.6
555,7,91.802,47.989,6.4
556,10,90.264,49.043,9.8
557,7,90.26,49.907,7.8
558,14,89.907,48.923,21.7
559,7,87.672,49.856,10.9
560,3,87.856,42.096,6.5
561,3,87.85,42.095,6.5
562,3,87.847,42.094,6.7
563,3,87.84,42.092,11.3
564,3,87.841,42.09,7.3
565,3,86.062,40.001,9.5
566,3,86,40.05,7.4
567,1,84.264,41.064,22.6
568,3,82.826,44.852,22.5
569,9,81.991,44.7,6.9
570,6,81.989,44.945,9
571,10,82.398,46.938,18.6
572,10,80.826,48.031,19
573,2,80.836,49.925,26.8
574,7,82.298,49.997,6.4
575,8,78.165,40.001,12.1
577,8,77.637,47.737,20.6
578,3,78.829,44.88,7.9
579,3,78.81,44.875,4.4
580,1,77.51,43.693,11.7
581,7,76.504,43.672,6.9
582,1,75.668,44.942,22.9
583,8,75.867,41.905,14.3
584,7,75.872,46.868,5.5
585,6,74.112,45.792,21.4
586,7,72.543,49.1,12.1
587,7,72.625,47.979,7.3
588,14,65.842,44.538,6.3
589,7,72.611,45.41,10.2
590,2,64.473,41.661,40.3
591,9,67.033,41.164,14.6
592,14,64.605,40.95,2.5
593,7,61.558,45.307,4.8
594,7,61.981,44.926,28.6
595,11,63.294,46.702,21.4
596,7,64.438,48.536,16.5
597,10,63.843,49.679,15.1
598,10,62.734,49.125,9.4
599,10,62.587,47.965,22.7
600,14,55.637,47.101,9.2
601,14,56.264,44.424,22.5
602,7,53.941,45.82,17.4
603,7,53.803,43.505,49.8
604,10,55.458,41.45,10.6
605,14,50.87,40.708,11.4
606,14,52.386,43.685,11
607,7,54.187,47.193,36.9
608,3,53.502,47.765,13.2
609,2,49.527,47.259,7.8
610,10,46.826,46.863,3.6
611,2,45.853,46.228,32.1
612,14,43.865,44.742,18.6
613,2,43.75,43.693,36.7
614,14,42.182,43.876,5.7
615,16,46.887,40.547,3.9
616,14,46.828,40.266,12.4
617,9,47.164,42.583,9.8
618,14,46.66,43.451,4.7
619,14,45.383,42.648,12.6
620,14,45.168,42.123,15
621,14,42.933,41.67,17.5
622,3,43.5,40.182,16.1
623,14,40.81,42.087,5.5
624,7,40.767,46.828,8.7
625,15,40.926,45.305,10.9
626,7,40.908,47.679,16.7
627,7,40.909,48.586,13.9
628,7,40.241,48.988,11.2
629,6,39.133,41.826,27.2
630,14,37.747,44.939,4.5
631,14,32.179,44.813,2.2
632,2,33.584,45.826,22.8
633,1,39.909,45.618,11.4
634,1,31.95,44.314,8.6
635,15,39.99,42.534,15.8
636,7,30.646,41.868,9.4
637,8,31.835,41.532,15.8
638,7,38.864,44.13,12.6
639,3,34.245,48.32,4.1
640,3,34.425,45.174,27.7
641,3,34.352,46.097,5.1
642,14,20.01,41.987,26.9
643,3,20.737,43.658,8.2
644,15,29.806,40.866,20.1
645,7,27.928,41.544,5.1
646,9,28.418,44.639,15.3
647,9,28.094,44.406,10
648,9,28.898,48.059,20.4
649,14,24.544,49.168,1.7
650,15,27.791,45.425,14
651,7,23.827,47.725,8.9
652,14,23.624,47.359,3.2
653,7,24.007,43.88,26.5
654,7,19.637,43.447,11.3
655,14,19.094,43.185,17.2
656,11,18.672,41.059,9.7
657,11,18.567,40.628,22
658,7,15.458,41.121,36.4
659,14,13.118,41.347,12.2
660,10,15.39,46.644,18.7
661,7,18.007,48.622,17.4
662,9,11.5,47.602,16.7
663,2,8.79,49.271,4.6
664,2,9.192,47.554,4.9
665,15,8.478,46.421,30.2
666,9,9.149,46.546,10.6
667,14,9.505,44.718,2.1
668,14,9.454,44.254,2.6
669,14,6.3,43.628,5.1
670,14,6.982,44.836,1.9
671,2,7.383,41.632,13.9
672,2,6.099,41.361,6.1
673,9,5.755,41.002,14.5
674,14,3.064,41.964,3.6
675,14,1.863,42.114,3
676,14,2.284,42.987,2.1
677,14,3.838,43.647,2.9
678,14,3.314,43.661,4.8
679,14,3.019,44.358,2.7
680,14,3.478,44.101,2.1
681,14,1.885,45.27,2.4
682,14,2.306,45.585,1.9
683,14,2.113,45.584,2.1
684,7,7.691,45.518,4
685,14,4.909,48.611,2.7
686,14,4.439,49.127,6.6
687,14,4.672,47.761,3.5
688,7,3.822,47.826,10.4
689,14,3.587,47.989,2.7
690,14,3.519,47.516,2.8
691,14,3.016,48.259,2.5
692,14,1.679,48.613,21.8
693,14,0.376,45.075,9.7
694,7,2.416,44.712,3.8
698,14,0.652,44.389,20.4
699,7,0.79,50.754,13.2
700,1,2.7,52.836,28.7
701,11,0.855,55.793,5.7
702,15,3.641,53.633,15.7
703,15,3.784,56.312,16.9
704,14,5.897,56.774,18.6
705,1,5.61,57.957,18.7
706,9,7.061,57.499,12.1
707,9,7.844,59.116,4
708,3,9.524,56.285,4.8
709,3,8.226,55.197,5.6
710,7,3.374,56.071,4.4
711,1,7.061,52.773,13.1
712,9,6.754,51.078,16.8
713,14,5.382,50.755,2.1
714,9,11.353,51.679,4.3
715,15,12.425,51.165,31.7
716,14,13.844,51.437,13.9
717,2,15.017,52.057,10.4
718,7,13.793,53.934,5.8
719,7,13.78,53.93,6.6
720,7,13.779,53.932,32.5
721,14,13.643,54.769,21.9
722,2,12.25,55.473,16
723,1,10.712,59.016,24.5
724,9,19.99,56.578,13.9
725,9,22.162,58.878,14.4
726,14,24.705,59.235,6.5
727,14,20.873,52.402,2.3
728,14,20.667,52.235,1.6
729,4,26.183,53.192,30.1
730,9,32.184,55.828,16.4
731,9,32.089,56.032,13.6
732,14,31.71,59.504,16.1
733,11,34.562,59.764,25.9
734,14,35.686,59.425,17.6
735,14,35.185,58.83,11.4
736,14,35.18,58.821,6.3
737,2,37.381,59.269,27.2
738,2,36.721,59.647,18.8
739,9,39.06,55.465,3.6
740,14,37.756,56.32,14.7
741,15,37.771,57.533,14.5
742,14,36.168,54.434,27.6
743,14,36.094,52.886,22.8
744,7,42.023,51.019,10.8
745,15,41.708,52.445,16.9
746,15,43.379,53.314,14.8
747,15,42.017,57.17,9.1
748,9,42.01,57.246,7.9
749,9,42.509,56.808,4.9
750,1,45.052,56.275,27.6
751,14,47.868,52.864,23.8
752,14,46.48,50.837,22
753,14,45.511,50.915,21.4
754,10,49.644,50.204,3.6
755,2,49.241,51.493,5.4
756,10,50.701,53.345,6.6
757,10,51.725,54.536,2.4
758,15,51.732,54.52,23.8
759,2,52.347,52.158,3.4
760,10,52.944,53.451,4.9
761,7,52.188,58.861,9.4
762,7,52.688,58.852,9.1
763,9,52.611,58.951,8.1
764,15,53.543,59.32,14.6
765,3,54.365,57.157,3.6
766,3,54.36,57.152,2.9
767,15,56.09,58.341,18.2
768,15,56.888,58.466,10
769,7,59.183,59.759,13.2
770,7,59.18,59.75,29.8
771,14,59.04,57.759,20.6
772,9,55.715,55.945,9.6
773,11,54.577,54.715,31
774,7,54.92,54.248,8.1
775,7,53.508,53.664,28.9
776,15,54.547,51.134,14.7
777,2,55.081,50.429,7.7
778,15,55.58,50.01,20.4
779,2,55.821,51.052,6.9
780,2,56.547,50.624,3.4
781,9,57.994,51.137,10.1
782,14,63.387,51.936,2
783,14,62.829,53.926,5.8
784,10,63.744,54.611,32.7
785,11,61.222,56.008,27.3
786,14,62.136,58.103,13.5
787,3,61.801,59.106,4.8
788,15,65.373,55.373,18.1
789,7,69.558,52.789,11.5
790,7,69.339,51.098,16.5
791,7,67.732,50.627,14.9
792,15,70.627,51.349,27.6
793,7,71.254,50.76,5.7
794,3,71.967,50.703,2.7
795,10,73.295,52.226,35.8
796,7,72.765,54.418,21.5
797,7,71.578,54.521,3.4
798,1,71.261,56.71,11.7
799,1,71.583,58.231,10
800,15,74.841,58.996,13.8
801,14,78.895,56.225,6.2
802,15,75.101,58.807,27.9
803,9,74.807,58.274,9.8
