Tree	x	y	dbh	species	height
198	51.2318	76.3525	12.9	7	0
199	48.7501	84.0272	13.6	7	0
200	66.066	49.4434	7	7	0
201	87.0383	64.8752	7.8	7	0
202	91.5132	70.4222	8.7	7	0
203	93.8049	99.1161	8	7	0
204	83.2411	82.1049	6	7	0
205	84.3412	81.0501	5.8	7	0
206	2.0344	17.1452	41.8	8	0
207	12.7254	9.6017	40.2	8	0
208	21.7341	0.8735	29.6	8	0
209	21.1659	1.9795	38.3	8	0
210	19.8174	10.5285	25.9	8	0
211	19.0002	11.8571	25.7	8	0
212	3.7278	44.3703	31.7	8	0
213	6.1309	42.5543	5	8	0
214	7.1796	43.5767	45	8	0
215	9.1818	42.5974	56	8	0
216	21.7435	16.9985	41.7	8	0
217	22.9158	18.2906	52.5	8	0
218	24.7695	7.9024	61.3	8	0
219	30.2993	4.3973	44.6	8	0
220	36.2727	1.0293	65	8	0
221	18.8096	43.6476	41.9	8	0
222	21.6773	52.5087	48.5	8	0
223	14.4108	68.5398	47.4	8	0
224	5.8762	93.3916	6.4	8	0
225	53.4759	5.0022	10.3	8	0
226	69.9679	11.7662	18.2	8	0
227	75.266	12.5922	32	8	0
228	46.7871	53.4234	5.6	8	0
229	18.1674	83.4655	26.4	8	0
230	41.4752	86.0643	23	8	0
231	33.5054	75.6804	54.9	8	0
232	51.3431	67.4677	57.2	8	0
233	60.3054	92.164	13.7	8	0
234	65.1916	85.1701	17.9	8	0
235	65.8406	63.3404	42.9	8	0
236	96.7273	53.6342	16.9	8	0
237	97.5255	78.5372	5.3	8	0
238	86.0932	87.7263	13	8	0
239	71.1493	76.2588	6.8	8	0
240	11.0478	3.1744	40.1	9	0
241	4.0788	8.9055	29.3	9	0
242	1.5532	12.6228	34.5	9	0
243	14.1075	0.8451	42.2	9	0
244	14.5016	13.871	23.9	9	0
245	8.3446	21.1202	52.9	9	0
246	3.3554	25.581	28.5	9	0
247	0.688	35.7342	13.1	9	0
248	2.4906	39.8056	33	9	0
249	2.299	43.0542	21.2	9	0
250	6.5771	35.4161	31.3	9	0
251	18.1105	28.559	26.9	9	0
252	18.5809	20.1408	21.4	9	0
253	27.8672	4.6484	22.7	9	0
254	37.4827	9.1601	31.9	9	0
255	23.3805	39.0357	19.7	9	0
256	16.9901	49.1946	24	9	0
257	7.8739	48.2828	29.5	9	0
258	3.273	50.0673	17.3	9	0
259	2.1734	54.4726	23.2	9	0
260	6.7392	57.5587	33.1	9	0
261	2.9168	63.72	33.8	9	0
262	9.2863	70.0467	23.8	9	0
263	11.2704	62.5	27.9	9	0
264	12.4438	57.3377	29.8	9	0
265	32.8651	37.4324	23.5	9	0
266	33.1999	36.818	20.2	9	0
267	36.8649	30.9992	21.3	9	0
268	40.5949	23.9625	28.9	9	0
269	40.1954	5.7308	14	9	0
270	45.4644	14.6883	45.6	9	0
271	43.7563	25.6519	30.2	9	0
272	50.8064	24.2778	13.5	9	0
273	52.6149	23.4776	12.3	9	0
274	49.309	32.7261	38.4	9	0
275	47.7199	39.9091	19.9	9	0
276	43.6367	43.5977	12.8	9	0
277	21.7739	59.4224	30	9	0
278	25.6635	66.9847	37	9	0
279	20.1889	70.5664	33.3	9	0
280	15.7272	75.7641	49.5	9	0
281	8.9576	78.3474	32.3	9	0
282	7.4581	78.7676	27.6	9	0
283	3.8015	84.0065	47.9	9	0
