Number	x	y	dbh	species	height
278	60.7523	32.903	5	25	10.4
280	60.0744	37.5606	8.5	25	10.6
281	59.2548	38.1424	10.2	25	10.7
282	59.0417	37.462	10	25	10.7
283	59.2114	37.3438	5.2	25	10.5
284	59.0589	37.3317	7.8	25	10.4
285	58.8936	37.2545	6.1	25	10.8
286	58.8264	37.4953	16.3	25	10.7
287	58.032	36.7648	11.3	25	11.2
289	56.8539	38.6672	6.3	25	8.6
290	56.6781	38.4246	8.1	25	10.7
291	56.3362	38.5927	5.3	25	9.2
298	44.0971	40.4641	17.2	25	10.8
299	43.8702	40.4458	11.1	25	10.7
300	43.703	39.9865	11.7	25	10.6
302	44.2343	39.9932	5	25	8.4
305	38.8831	37.4258	5.4	25	8.2
306	39.0962	37.232	15.3	25	10.6
315	25.3292	32.5055	5	25	7.6
316	25.3335	32.5282	5.1	25	8.1
317	25.1141	32.6849	14.8	25	10.4
343	42.6271	45.4735	15.7	25	10.7
347	41.3906	47.6803	10.5	25	10.7
348	41.5119	48.0165	12.7	25	10.5
357	51.4346	46.189	8.7	25	10.4
358	51.3918	46.1744	5.5	25	7.7
359	51.5781	45.9652	5.9	25	9.1
360	51.6778	45.9002	15.9	25	10.9
361	51.8161	45.7559	15	25	10.9
363	57.0751	42.4377	14.3	25	11.3
364	57.2621	42.2743	10.4	25	9.7
433	17.2369	29.4054	5.4	25	8.9
434	17.4139	29.5601	10.4	25	10.3
435	17.6028	29.6768	5.1	25	7.2
436	17.6409	29.3271	5	25	8.4
455	2.4486	30.1585	18.4	25	10.8
461	8.6429	36.8097	14.2	25	10.3
462	8.9445	36.6442	6.7	25	8.9
344	42.7151	45.6944	14.5	25	10.8
69	23.6440 	2.2376 	12.3	26	12.3
103	18.1567	18.4427	8.3	26	10.6
152	14.9130 	22.1577 	8.9	26	11.4
158	16.7148 	26.6208 	10.7	26	11.4
193	40.6974 	17.0260 	15.7	26	12.8
195	41.3371 	18.8075 	11.5	26	11.3
288	57.3342	37.1897	18.8	26	12.4
369	59.7547	44.9536	13.5	26	12.1
370	58.0193	46.7025	11.5	26	10.2
375	55.1931	47.6333	15	26	10.7
377	52.118	49.3152	9.5	26	10.7
391	28.2076	45.08	8.5	26	10.2
406	16.6803	46.5649	14.6	26	11.7
412	20.2262	44.2095	10.4	26	11.6
418	19.2098	34.5665	20.5	26	11.6
449	5.2028	30.1346	7.2	26	8.1
468	10.5537	46.0752	12	26	10.9
469	10.4796	46.0148	5.7	26	6.7
15	54.8136 	11.8655 	12.8	27	11.2
39	55.6199 	18.2693 	21	27	12.7
59	38.0632 	8.6597 	14.1	27	12.3
178	35.6099 	20.3585 	10.6	27	11.3
189	44.5499 	15.6574 	16.9	27	12.7
199	46.4955	20.6877	17.8	27	12.6
204	51.5939 	22.6207 	12.2	27	9.2
295	49.073	42.5454	5.5	27	8.6
296	48.0211	42.4828	9	27	10.4
46	45.9105 	12.9490 	8.1	28	12.2
153	15.1458 	22.7980 	6	28	7.4
389	30.3372	46.4799	5.7	28	7.6
392	26.7855	44.6744	6.8	28	10.5
417	18.0823	36.0228	11.3	28	12.1
428	18.6695	31.8378	12.8	28	12.3
437	16.8087	27.939	4.8	28	10.7
136	8.179	11.9914	6.7	29	10.2
70	24.8045 	3.7828 	9.1	30	10.7
71	22.5873 	2.3434 	7.9	30	11.3
102	19.4525	19.0143	5.8	30	7.3
105	18.9647	16.1631	17.1	30	12.7
106	18.6149	16.3894	6.7	30	9.8
115	12.1082	4.8753	17.3	30	12.5
130	5.9042 	8.9025 	10.8	30	11.3
134	11.6335	8.4473	12.7	30	10.6
135	10.497	6.8919	29.6	30	13.8
147	13.9891	14.3594	15.2	30	11.4
184	37.7914 	15.2508 	21.9	30	12.7
185	37.7363 	15.5400 	8.9	30	10.2
196	40.7928 	20.5210 	22.9	30	12.7
202	44.5556	23.0442	9	30	8.4
203	44.4737 	23.1170 	25.9	30	12.7
329	29.8302	41.0789	6.5	30	10.4
330	30.5888	41.4404	22.6	30	12.4
