Number	x	y	dbh    species	ht
236	47.0799	25.3017	15.1 	24	0
237	46.8749	18.6436	24.2 	24	0
238	49.3496	14.8867	18.1 	24	0
239	64.6909	11.4231	19.7 	24	0
240	67.3933	12.2349	23.5 	24	0
241	68.6764	20.2692	6.9 	24	0
242	68.7697	20.5226	8.8 	24	0
243	59.9817	19.2543	26.1 	24	0
244	51.0474	22.1088	37.8 	24	0
245	54.7407	25.8476	30.7 	24	0
246	17.898	25.8255	12.9 	24	0
247	34.7172	40.0584	18.1 	24	0
248	11.4882	41.5627	11.8 	24	0
249	53.2502	33.9546	47.3 	24	0
250	53.4002	37.073	31.9 	24	0
251	50.7878	38.4889	13.5 	24	0
252	38.6929	47.6262	35.6 	24	0
253	58.8882	38.7046	14.4 	24	0
254	59.1429	35.512	12.8 	24	0
255	60.5817	34.4081	49.4 	24	0
256	60.066	27.61	10.6 	24	0
257	65.0336	27.0345	17.1 	24	0
258	69.8578	25.6125	28.3 	24	0
259	67.8152	30.0424	24.7 	24	0
260	63.2631	40.2839	34.6 	24	0
261	63.2136	44.0023	26.4 	24	0
262	67.6046	47.9732	55.5 	24	0
263	3.0559	38.5276	7.3 	24	0
264	1.8822	51.8351	24.9 	24	0
265	4.7927	56.3856	21.0 	24	0
266	4.9179	56.5974	16.2 	24	0
267	4.7014	60.5581	39.5 	24	0
268	8.3978	60.7765	22.7 	24	0
269	12.5853	58.6436	17.1 	24	0
270	13.1107	63.187	27.1 	24	0
271	15.8724	62.426	12.6 	24	0
272	10.1186	54.3136	5.6 	24	0
273	13.0789	55.0261	26.6 	24	0
274	13.8684	53.8177	15.2 	24	0
275	21.6212	58.4428	28.5 	24	0
276	24.1097	53.5404	18.5 	24	0
277	33.0992	62.7924	26.5 	24	0
278	28.2089	65.0978	47.6 	24	0
279	29.4532	67.8447	11.2 	24	0
280	29.5841	66.6586	17.6 	24	0
281	35.8645	66.9681	29.0 	24	0
282	36.9965	69.8174	15.7 	24	0
283	35.1017	64.9963	17.5 	24	0
284	45.91	69.3518	32.2 	24	0
285	57.1096	59.9473	26.5 	24	0
286	56.8759	60.3057	32.6 	24	0
287	50.0915	66.6895	21.0 	24	0
288	52.9302	66.4677	15.0 	24	0
289	67.3025	68.0227	18.0 	24	0
290	65.2207	58.7679	15.4 	24	0
291	60.08	58.3062	31.8 	24	0
292	68.6393	57.3571	35.0 	24	0
293	25.9227	7.2746	17.2 	25	0
294	36.1604	0.5076	16.7 	25	0
295	50.447	53.6156	15.1 	25	0
296	53.6893	50.2729	23.5 	25	0
297	4.6602	61.5986	8.3 	25	0
298	0.9102	69.9741	7.0 	25	0
299	8.9427	62.2363	5.0 	25	0
300	9.2417	59.7526	6.2 	25	0
301	17.4609	9.3386	7.3 	26	0
302	17.2313	9.6971	5.2 	26	0
303	10.4522	7.7536	7.1 	26	0
304	28.2135	63.332	10.5 	26	0
305	45.8257	65.7534	5.3 	26	0
306	52.9373	31.3479	5.5 	27	0
307	48.2337	34.0078	22.6 	27	0
308	6.9965	3.5222	20.5 	28	0
309	13.3078	1.224	23.4 	28	0
310	15.9293	1.788	38.8 	28	0
311	19.8461	6.3344	19.7 	28	0
312	7.8224	8.4819	19.0 	28	0
313	7.2665	17.6552	24.2 	28	0
314	3.1625	13.3268	21.5 	28	0
315	1.3071	6.9273	32.1 	28	0
316	2.8053	20.4928	24.7 	28	0
317	22.0739	11.1335	27.6 	28	0
318	18.7725	21.7862	22.0 	28	0
319	27.1704	21.9849	28.3 	28	0
320	33.5361	14.6628	22.5 	28	0
321	34.87	1.4786	32.8 	28	0
322	38.4698	1.2471	12.4 	28	0
323	67.2692	8.3017	18.8 	28	0
324	36.5327	25.6865	30.5 	28	0
325	29.6749	28.696	32.6 	28	0
326	66.7985	18.7725	22.1 	28	0
327	37.6437	38.646	44.0 	28	0
328	18.9937	36.5023	6.5 	28	0
329	8.0034	40.993	7.3 	28	0
330	39.9414	49.7477	41.5 	28	0
331	38.8714	57.5502	40.0 	28	0
332	60.4872	27.8682	37.2 	28	0
333	62.6065	27.3154	15.5 	28	0
334	67.194	36.0744	21.4 	28	0
335	62.8113	41.4535	27.7 	28	0
