Number	x	y	species	dbh	height	CL
93060	357.388	218.789	1	8.1	11.6 	3.0 
93063	362.86	204.23	1	21.4	12.6 	8.6 
93064	365.715	203.59	1	11.8	9.7 	2.3 
93064.2	365.715	203.59	1	10.7	9.2 	5.5 
93064.3	365.715	203.59	1	10.1	8.9 	5.4 
93066	371.038	201.706	1	18.8	10.7 	8.9 
93066.2	371.038	201.706	1	12.5	10.0 	5.8 
93068	375.193	202.496	1	9.5	10.2 	4.1 
93070	379.344	200.836	1	12.7	10.4 	8.7 
93073	377.636	207.164	1	11.5	10.5 	8.0 
93074	377.381	206.808	1	13.5	9.9 	7.0 
93076	373.322	205.521	1	18.5	9.5 	7.0 
93076.2	373.322	205.521	1	11.5	9.6 	5.6 
93082	365.281	209.4	1	6.4	8.7 	1.8 
93087	363.331	214.1	1	7	5.0 	3.0 
93090	365.219	212.046	1	12.7	10.7 	7.6 
93093	367.96	214.591	1	13.7	8.3 	5.0 
93095	368.771	213.166	1	6.1	7.3 	4.2 
93098	376.766	208.798	1	11.6	10.0 	9.6 
93098.2	376.766	208.798	1	9.7	8.7 	5.3 
93100	377.322	211.025	1	12.2	11.0 	9.6 
93101	379.478	214.406	1	12.4	10.0 	4.2 
93103	380.08	215.822	1	9.7	8.6 	4.0 
93104	379.244	215.987	1	11.6	9.5 	8.2 
93106	376.829	220.062	1	5.3	8.2 	6.3 
93107	375.315	219.1	1	18.4	11.0 	7.0 
93108	374.22	218.626	1	10.8	9.6 	3.8 
93111	372.36	213.338	1	8.9	6.5 	4.0 
93114	368.892	215.372	1	7.2	8.8 	7.5 
93127	228.318	223.203	1	5.2	7.8 	6.0 
93128	229.731	220.194	1	9.5	9.6 	2.0 
93134	240.53	220.777	1	7.9	8.1 	4.8 
93134.2	240.53	220.777	1	4.8	6.4 	4.4 
93141	228.98	226.738	1	14.8	8.7 	4.2 
93147	221.093	226.385	1	10	5.6 	2.0 
93151	223.219	230.769	1	6	5.6 	3.5 
93152	225.655	230.765	1	9.5	9.5 	8.0 
93152.2	225.655	230.765	1	8.3	8.1 	5.0 
93155	228.476	229.881	1	4.4	5.0 	4.8 
93160	237.435	227.885	1	5.8	8.2 	5.0 
93161	237.444	229.62	1	7.5	7.0 	4.0 
93164	239.759	232.087	1	14	12.1 	8.0 
93167	240.006	234.116	1	14.1	12.6 	8.8 
93172	232.693	233.075	1	7.4	8.8 	7.1 
93188	230.615	237.607	1	6	10.6 	7.1 
93189	231.295	238.089	1	7.2	12.0 	6.5 
93192	236.699	235.57	1	18.3	9.2 	2.9 
93192.2	236.699	235.57	1	13.1	10.3 	5.9 
93194	238.676	235.873	1	9.7	10.6 	8.2 
93195	239.021	237.749	1	7.2	10.0 	7.8 
93196	239.351	237.374	1	6.8	11.0 	9.6 
93215	245.544	223.149	1	5.3	8.1 	6.0 
93217	243.677	222.54	1	11.9	9.1 	2.8 
93219	242.92	224.626	1	8.2	7.8 	6.0 
93227	254.536	225.262	1	13.9	9.8 	6.5 
93230	260.053	225.962	1	7.8	10.0 	4.0 
93235	242.307	226.946	1	8.4	7.3 	5.8 
93240	248.981	229.585	1	5.3	6.3 	3.8 
93245	255.956	227.262	1	5.3	6.3 	2.3 
93251	259.108	231.828	1	13.5	12.6 	8.6 
93253	255.783	232.363	1	14.3	11.6 	6.2 
93253.2	255.783	232.363	1	9.1	8.4 	5.2 
93256	244.701	232.924	1	5.6	5.0 	3.0 
93261	244.153	236.743	1	11.6	9.4 	6.3 
93261.2	244.153	236.743	1	7.7	7.8 	4.9 
93263	253.097	234.424	1	11.2	13.4 	9.7 
93265	259.492	234.819	1	12.5	9.8 	7.3 
