Number	x	y	species	dbh	height
1687	76.327	13.525	8	7	0
1737	81.154	44.993	29	7	0
1741	76.837	34.214	29	7	0
1934	13.744	23.346	47	7	0
1959	23.148	6.508	47	7	0
2014	81.025	29.145	56	7	0
2021	69.012	23.393	56	7	0
2768	28.001	21.474	61	7	0
2793	16.359	11.413	61	7	0
2831	42.828	69.381	28	7	0
2865	70.258	53.566	28	7	0
2883	74.482	44.117	28	7	0
2900	85.869	31.925	28	7	0
2994	43.793	5.974	28	7	0
3001	70.379	56.77	63	7	0
2775	13.133	20.165	61	7.1	0
2840	33.829	62.889	28	7.1	0
2853	71.133	58.174	28	7.1	0
3010	45.373	29.729	69	7.1	0
1677	35.378	46.592	7	7.2	0
1696	71.565	7.758	14	7.2	0
1784	24.933	35.931	33	7.2	0
1850	50.772	79.988	47	7.2	0
1963	3.601	1.999	47	7.2	0
1972	37.483	37.343	52	7.2	0
1989	58.7	41.863	56	7.2	0
2005	89.866	34.486	56	7.2	0
2007	96.763	34.03	56	7.2	0
2026	72.925	20.463	56	7.2	0
2031	58.605	15.414	56	7.2	0
2049	46.244	1.346	56	7.2	0
2733	48.554	65.314	61	7.2	0
2794	29.605	10.87	61	7.2	0
2802	33.663	8.818	61	7.2	0
2816	18.152	2.326	61	7.2	0
2818	12.206	1.722	61	7.2	0
2858	53.87	56.764	28	7.2	0
2866	20.325	53.489	28	7.2	0
2936	61.351	24.555	28	7.2	0
3039	93.443	60.345	75	7.2	0
1782	47.836	44.717	33	7.3	0
1831	84.803	28.028	44	7.3	0
1920	5.589	30.391	47	7.3	0
1997	66.623	38.778	56	7.3	0
2040	94.062	6.936	56	7.3	0
2715	35.967	78.169	61	7.3	0
2745	9.43	46.478	61	7.3	0
2842	28.941	62.245	28	7.3	0
2953	47.02	20.219	28	7.3	0
2960	26.922	17.589	28	7.3	0
2999	41.2	0.867	28	7.3	0
3065	2.826	67.403	80	7.3	0
1712	55.595	24.018	20	7.4	0
1757	95.697	67.776	32	7.4	0
2646	94.872	7.812	60	7.4	0
2674	96.271	4.444	60	7.4	0
2755	15.268	36.064	61	7.4	0
2967	54.242	14.953	28	7.4	0
2974	63.491	13.537	28	7.4	0
3041	45.069	53.808	75	7.4	0
3050	87.994	10.828	75	7.4	0
1794	47.354	46.146	34	7.5	0
1830	85.281	28.035	44	7.5	0
2012	88.223	30.469	56	7.5	0
2036	76.469	10.471	56	7.5	0
2807	60.408	5.807	61	7.5	0
2824	81.889	72.639	28	7.5	0
2847	82.652	60.449	28	7.5	0
2875	14.554	49.354	28	7.5	0
2888	44.894	36.872	28	7.5	0
2907	57.152	30.449	28	7.5	0
2922	50.394	27.789	28	7.5	0
2955	35.024	19.825	28	7.5	0
2973	36.841	13.562	28	7.5	0
3038	83.949	68.578	75	7.5	0
1770	63.446	32.743	32	7.6	0
1789	84.293	7.152	33	7.6	0
2536	12.406	25.084	60	7.6	0
2789	48.38	13.077	61	7.6	0
2797	30.804	9.864	61	7.6	0
2880	42.837	45.327	28	7.6	0
2993	34.515	6.169	28	7.6	0
3075	60.557	32.708	80	7.6	0
1787	77.583	27.93	33	7.7	0
1982	42.419	52.862	56	7.7	0
2781	29.761	17.548	61	7.7	0
2798	71.845	9.658	61	7.7	0
2884	41.219	42.601	28	7.7	0
2923	71.544	27.655	28	7.7	0
3024	74.97	16.195	70	7.7	0
1728	92.317	75.806	23	7.8	0
1747	96.604	11.956	29	7.8	0
1752	76.806	73.254	32	7.8	0
1759	67.631	64.079	32	7.8	0
1955	8.338	9.837	47	7.8	0
1994	88.931	39.122	56	7.8	0
2011	66.693	30.647	56	7.8	0
2578	30.282	18.13	60	7.8	0
2776	71.947	19.596	61	7.8	0
2826	60.185	71.827	28	7.8	0
2834	61.646	67.12	28	7.8	0
2855	36.94	57.884	28	7.8	0
2873	40.39	50.555	28	7.8	0
2968	84.032	14.917	28	7.8	0
2986	64.993	10.283	28	7.8	0
3045	63.372	31.006	75	7.8	0
1763	77.538	48.463	32	7.9	0
1776	65.893	57.721	33	7.9	0
1799	23.976	27.624	34	7.9	0
1975	32.095	54.052	53	7.9	0
3064	52.995	73.288	80	7.9	0
1774	29.044	62.91	33	8	0
1894	10.96	45.599	47	8	0
1915	49.411	33.593	47	8	0
1935	67.697	23.1	47	8	0
1964	21.67	1.116	47	8	0
2055	20.118	61.057	58	8	0
2738	10.761	62.078	61	8	0
2739	7.105	60.31	61	8	0
2760	0.768	32.078	61	8	0
2783	8.107	16.277	61	8	0
2785	26.352	14.697	61	8	0
2795	7.925	10.862	61	8	0
2871	39.094	51.783	28	8	0
2932	80.581	26.181	28	8	0
2948	34.867	21.68	28	8	0
2954	46.813	20.197	28	8	0
2961	43.797	17.174	28	8	0
3014	31.08	79.704	70	8	0
3043	99.396	48.066	75	8	0
3062	56.784	73.852	80	8	0
1689	43.803	12.815	11	8.1	0
2869	83.631	53.024	28	8.1	0
2882	39.093	44.642	28	8.1	0
3018	43.239	48.66	70	8.1	0
3059	53.443	78.236	80	8.1	0
1767	54.92	44.696	32	8.2	0
1828	84.827	28.426	44	8.2	0
1985	17.319	47.452	56	8.2	0
2009	67.639	33.82	56	8.2	0
2034	97.966	12.726	56	8.2	0
2664	15.415	5.884	60	8.2	0
2700	72.332	1.78	60	8.2	0
2714	82.552	79.473	61	8.2	0
2722	64.409	72.168	61	8.2	0
2736	33.574	63.595	61	8.2	0
2800	16.141	9.314	61	8.2	0
1931	25.273	25.847	47	8.3	0
1942	83.704	16.72	47	8.3	0
1999	92.161	38.391	56	8.3	0
2250	39.187	58.471	60	8.3	0
2762	38.33	31.428	61	8.3	0
2764	28.91	26.668	61	8.3	0
2779	84.304	18.496	61	8.3	0
2957	44.272	19.085	28	8.3	0
3040	40.084	58.928	75	8.3	0
