Number	x	y	dbh	species	height
636	98.59994041	35.49188055	13	14	0
637	96.7279	25.2621	17.8	14	0
638	94.7073	16.5015	5.2	14	0
639	93.3356	14.4783	5.7	14	0
640	92.8291	13.1878	9.2	14	0
641	91.3377	13.516	9.3	14	0
642	88.8731	8.6328	7.8	14	0
643	92.2477	8.1536	8.1	14	0
644	93.8103	9.9698	13.2	14	0
645	95.8912	6.9129	8.9	14	0
646	49.18886485	75.30889042	14.3	14	0
647	8.506972473	98.37332189	12	14	0
648	83.14597993	54.28898776	5.3	14	0
649	8.4075	28.6712	9.2	15	0
650	1.4087	72.4154	21.2	15	0
651	8.210686541	82.39080113	7.5	15	0
652	2.185185478	87.90296934	11.5	15	0
653	1.0208	84.1075	10	15	0
654	0.9875	84.4207	6.8	15	0
655	8.4941	12.5919	10.9	15	0
656	8.2849	8.0706	10.5	15	0
657	8.7802	5.5985	8.4	15	0
658	9.247	5.5102	10.2	15	0
659	14.9006	8.6347	11.5	15	0
660	16.527	7.7549	17.4	15	0
661	13.0188	9.3261	18	15	0
662	12.4691	11.1726	16.8	15	0
663	16.4756	13.8724	17.5	15	0
664	15.4976	15.9316	15.2	15	0
665	21.1843	35.1554	21.3	15	0
666	22.6827	17.8602	17	15	0
667	26.3986	14.5978	15.3	15	0
668	27.0728	13.4371	11.1	15	0
669	24.1778	14.8817	17.5	15	0
670	24.5673	12.8968	14.3	15	0
671	23.9355	12.6864	14.1	15	0
672	20.9813	15.0063	11.9	15	0
673	24.4502	5.752	17.8	15	0
674	25.5819	4.7041	19.5	15	0
675	22.277	8.8534	7.8	15	0
676	18.1617	10.719	6.7	15	0
677	17.9838	3.9208	11.9	15	0
678	23.4714	0.2636	11.3	15	0
679	25.117	0.8805	7.5	15	0
680	27.0081	3.1102	10.5	15	0
681	29.1334	8.0116	18.2	15	0
682	33.0416	23.3319	5.9	15	0
683	21.6521	60.7165	11.1	15	0
684	39.5726	44.9897	8	15	0
685	38.3967	43.4856	9	15	0
686	38.0458	41.1834	5.7	15	0
687	48.6096	14.6186	10.7	15	0
688	41.5729	13.5357	8.5	15	0
689	40.8163	12.1225	7	15	0
690	53.88	11.036	5.1	15	0
691	52.9511	19.0157	11.5	15	0
692	52.188	18.3407	11.9	15	0
693	52.1675	95.3269	5.6	15	0
694	52.4752	93.845	6.8	15	0
695	57.6557	89.2414	9.1	15	0
696	57.9608	89.0019	13.8	15	0
697	57.8209	88.996	5.6	15	0
698	57.652	89.3484	15	15	0
699	53.3889	86.6219	20.3	15	0
700	51.6464	27.5441	23.3	15	0
701	51.849	27.159	17.8	15	0
702	61.3191	19.2583	6.4	15	0
703	61.0441	19.6931	6.4	15	0
704	60.7668	19.8453	11.7	15	0
705	62.5234	48.0577	5.4	15	0
706	62.5419	69.9889	20.8	15	0
707	66.2412	73.8196	9.4	15	0
708	66.0913	98.1052	12	15	0
709	65.2262	98.2742	14	15	0
710	65.0236	98.4915	6.3	15	0
711	65.2095	97.9131	8.2	15	0
712	74.4087	19.0933	11.7	15	0
713	82.9084	50.2261	7	15	0
714	88.7642	35.3949	5.3	15	0
715	10.4851168	4.478295242	6	15	0
